time,temperature_2m,cloudcover,windspeed_10m,precipitation_probability,energy_load_mw,hour,day,weekday,month
1970-01-01 00:28:40.569600,16.7,51.0,15.8,,36414.75,0,1,3,1
1970-01-01 00:28:40.573200,16.2,9.0,16.2,,41821.44,0,1,3,1
1970-01-01 00:28:40.576800,15.9,62.0,16.3,,48974.04,0,1,3,1
1970-01-01 00:28:40.580400,15.5,100.0,16.7,,39897.54,0,1,3,1
1970-01-01 00:28:40.584000,15.9,96.0,17.2,,41262.19,0,1,3,1
1970-01-01 00:28:40.587600,15.8,20.0,18.0,,43393.08,0,1,3,1
1970-01-01 00:28:40.591200,15.5,72.0,19.4,,45577.25,0,1,3,1
1970-01-01 00:28:40.594800,16.2,100.0,21.1,,44358.32,0,1,3,1
1970-01-01 00:28:40.598400,17.0,66.0,23.2,,44176.6,0,1,3,1
1970-01-01 00:28:40.602000,18.1,44.0,23.0,,36494.0,0,1,3,1
1970-01-01 00:28:40.605600,18.9,64.0,25.5,,36627.61,0,1,3,1
1970-01-01 00:28:40.609200,19.4,89.0,26.7,,45475.55,0,1,3,1
1970-01-01 00:28:40.612800,20.0,92.0,26.2,,44332.08,0,1,3,1
1970-01-01 00:28:40.616400,20.5,55.0,26.8,,39843.4,0,1,3,1
1970-01-01 00:28:40.620000,19.5,85.0,28.0,,48646.58,0,1,3,1
1970-01-01 00:28:40.623600,20.5,80.0,27.2,,46622.49,0,1,3,1
1970-01-01 00:28:40.627200,20.6,80.0,26.8,,44190.09,0,1,3,1
1970-01-01 00:28:40.630800,20.0,60.0,27.7,,42458.39,0,1,3,1
1970-01-01 00:28:40.634400,19.9,99.0,25.1,,38029.91,0,1,3,1
1970-01-01 00:28:40.638000,19.7,100.0,21.7,,42321.75,0,1,3,1
1970-01-01 00:28:40.641600,18.3,94.0,16.3,,43782.54,0,1,3,1
1970-01-01 00:28:40.645200,17.0,30.0,16.8,,35358.82,0,1,3,1
1970-01-01 00:28:40.648800,15.5,9.0,17.2,,44118.12,0,1,3,1
1970-01-01 00:28:40.652400,14.6,45.0,16.2,,40445.15,0,1,3,1
1970-01-01 00:28:40.656000,14.2,13.0,15.2,,40410.75,0,1,3,1
1970-01-01 00:28:40.659600,13.4,9.0,14.6,,43553.62,0,1,3,1
1970-01-01 00:28:40.663200,13.6,0.0,15.4,,46635.08,0,1,3,1
1970-01-01 00:28:40.666800,12.8,0.0,13.7,,40575.94,0,1,3,1
1970-01-01 00:28:40.670400,12.1,0.0,11.6,,43440.64,0,1,3,1
1970-01-01 00:28:40.674000,11.7,0.0,11.1,,44824.92,0,1,3,1
1970-01-01 00:28:40.677600,12.2,0.0,12.6,,42790.43,0,1,3,1
1970-01-01 00:28:40.681200,13.6,0.0,12.6,,39955.01,0,1,3,1
1970-01-01 00:28:40.684800,15.0,0.0,12.6,,44437.28,0,1,3,1
1970-01-01 00:28:40.688400,16.7,0.0,12.2,,40012.37,0,1,3,1
1970-01-01 00:28:40.692000,18.1,29.0,12.9,,42485.79,0,1,3,1
1970-01-01 00:28:40.695600,19.4,47.0,14.1,,46744.59,0,1,3,1
1970-01-01 00:28:40.699200,20.2,42.0,13.1,,46784.3,0,1,3,1
1970-01-01 00:28:40.702800,20.8,78.0,13.1,,45382.82,0,1,3,1
1970-01-01 00:28:40.706400,21.3,72.0,11.2,,36738.84,0,1,3,1
1970-01-01 00:28:40.710000,21.4,93.0,10.9,,42250.42,0,1,3,1
1970-01-01 00:28:40.713600,21.4,100.0,8.5,,43422.07,0,1,3,1
1970-01-01 00:28:40.717200,21.4,100.0,6.3,,44066.25,0,1,3,1
1970-01-01 00:28:40.720800,20.9,100.0,6.3,,45357.4,0,1,3,1
1970-01-01 00:28:40.724400,20.5,99.0,9.2,,37961.18,0,1,3,1
1970-01-01 00:28:40.728000,17.7,100.0,18.9,,39385.53,0,1,3,1
1970-01-01 00:28:40.731600,16.8,100.0,11.5,,48433.12,0,1,3,1
1970-01-01 00:28:40.735200,16.3,100.0,10.3,,46848.62,0,1,3,1
